learner_id,previous_performance,learning_style,learning_goal,engagement_time,completion_rate,preferred_pacing,content_interaction,prev_course,course_id,module_id,content_type,assessment_score,feedback_rating,content_difficulty,recommended_courses
2033,63,kinesthetic,Complete course,206,0.53,Moderate,36,9,14,677,Video,42,Excellent,Hard,14
2034,86,auditory,Complete course,84,0.7,Moderate,4,5,15,877,Quiz,88,Good,Easy,7
2035,98,kinesthetic,Gain certification,167,0.68,Fast,2,19,6,699,Video,57,Good,Easy,9
2036,10,auditory,Master topic,260,0.48,Fast,44,5,11,328,Video,1,Poor,Easy,9
2037,49,visual,Complete course,253,0.91,Fast,24,13,7,5,Text,94,Average,Easy,13
2038,97,visual,Gain certification,259,0.41,Fast,41,8,10,927,Quiz,39,Excellent,Hard,18
2039,33,kinesthetic,Gain certification,153,0.99,Moderate,49,1,7,372,Video,80,Good,Hard,9
2040,24,kinesthetic,Complete course,221,0.24,Moderate,21,12,7,264,Video,22,Poor,Hard,7
2041,41,auditory,Complete course,263,0.75,Slow,40,15,14,995,Text,85,Excellent,Easy,2
2042,52,kinesthetic,Master topic,297,0.34,Fast,30,1,14,234,Quiz,71,Poor,Easy,2
2043,43,visual,Master topic,225,0.53,Fast,43,4,9,995,Video,39,Excellent,Hard,17
2044,70,kinesthetic,Master topic,243,0.54,Fast,13,8,17,553,Quiz,71,Excellent,Easy,13
2045,20,auditory,Gain certification,103,0.47,Slow,19,17,14,529,Text,30,Good,Hard,20
2046,24,kinesthetic,Gain certification,86,0.35,Moderate,42,3,10,923,Text,18,Average,Easy,16
2047,57,visual,Master topic,72,0.23,Slow,23,3,3,74,Text,85,Poor,Intermediate,1
2048,81,auditory,Master topic,271,0.43,Fast,5,6,17,905,Text,12,Excellent,Easy,15
2049,31,kinesthetic,Gain certification,189,0.69,Moderate,44,9,12,801,Video,26,Poor,Hard,1
2050,73,kinesthetic,Complete course,226,0.59,Moderate,28,17,11,711,Quiz,66,Excellent,Easy,9
2051,6,auditory,Master topic,90,0.94,Slow,36,7,9,49,Text,49,Excellent,Easy,16
2052,47,kinesthetic,Complete course,108,0.45,Slow,22,4,14,185,Text,13,Poor,Easy,4
2053,49,visual,Master topic,186,0.66,Moderate,15,3,16,289,Quiz,61,Average,Easy,8
2054,88,visual,Complete course,77,0.61,Slow,36,20,15,426,Text,37,Excellent,Intermediate,12
2055,36,kinesthetic,Complete course,82,0.57,Moderate,22,8,11,718,Video,78,Average,Intermediate,14
2056,51,visual,Complete course,165,0.41,Fast,41,12,8,836,Quiz,44,Average,Intermediate,9
2057,43,auditory,Complete course,104,0.28,Moderate,12,4,7,494,Quiz,75,Poor,Easy,12
2058,39,auditory,Complete course,276,0.83,Slow,5,8,7,332,Text,52,Excellent,Easy,12
2059,88,auditory,Master topic,239,0.26,Moderate,35,4,3,48,Video,47,Average,Easy,8
2060,1,visual,Master topic,113,0.42,Moderate,45,6,7,23,Video,22,Average,Easy,8
2061,17,kinesthetic,Complete course,274,0.48,Slow,6,11,3,111,Video,79,Poor,Intermediate,3
2062,16,visual,Master topic,243,0.29,Fast,28,17,5,984,Video,8,Poor,Hard,3
2063,18,visual,Complete course,89,0.38,Slow,40,7,18,582,Quiz,6,Poor,Intermediate,1
2064,56,auditory,Master topic,168,0.6,Fast,33,14,13,531,Text,43,Excellent,Intermediate,12
2065,75,kinesthetic,Master topic,266,0.76,Moderate,49,1,16,769,Quiz,6,Average,Hard,6
2066,71,kinesthetic,Master topic,49,0.21,Fast,5,7,10,855,Text,21,Good,Intermediate,1
2067,29,kinesthetic,Master topic,231,0.42,Slow,14,15,17,536,Quiz,48,Poor,Intermediate,4
2068,13,kinesthetic,Master topic,174,1.0,Fast,35,4,12,331,Quiz,30,Excellent,Easy,16
2069,73,kinesthetic,Complete course,89,0.6,Slow,47,15,2,166,Text,86,Excellent,Intermediate,11
2070,47,kinesthetic,Complete course,42,0.76,Slow,26,8,6,481,Quiz,42,Good,Hard,15
2071,62,visual,Master topic,181,0.36,Moderate,30,19,4,843,Text,27,Good,Easy,12
2072,44,auditory,Master topic,147,0.84,Slow,1,10,13,188,Text,49,Average,Hard,20
2073,50,visual,Master topic,62,0.64,Fast,25,13,10,465,Video,39,Average,Easy,8
2074,35,auditory,Gain certification,265,0.61,Fast,42,6,2,432,Text,88,Average,Easy,13
2075,35,kinesthetic,Master topic,75,0.96,Moderate,31,12,1,805,Video,85,Good,Hard,10
2076,81,visual,Complete course,53,0.73,Slow,7,16,6,926,Text,95,Poor,Intermediate,13
2077,62,visual,Complete course,34,0.5,Moderate,3,6,4,586,Text,13,Excellent,Easy,2
2078,72,auditory,Gain certification,57,0.73,Moderate,9,11,15,997,Video,22,Poor,Easy,6
2079,23,kinesthetic,Gain certification,261,0.47,Fast,5,4,11,439,Text,15,Average,Easy,8
2080,25,visual,Gain certification,268,0.47,Fast,31,17,6,869,Video,80,Poor,Easy,19
2081,55,auditory,Master topic,257,0.78,Slow,16,6,15,696,Video,17,Average,Hard,4
2082,20,kinesthetic,Master topic,211,0.99,Moderate,21,10,7,523,Text,36,Average,Hard,11
2083,19,kinesthetic,Complete course,264,0.37,Moderate,12,8,1,782,Video,6,Good,Hard,17
2084,2,visual,Master topic,168,0.68,Slow,38,20,7,449,Video,58,Average,Intermediate,17
2085,49,kinesthetic,Master topic,33,0.55,Fast,11,20,18,739,Text,48,Poor,Intermediate,1
2086,56,auditory,Master topic,143,0.25,Slow,39,19,7,633,Video,49,Good,Hard,11
2087,22,kinesthetic,Complete course,107,0.98,Slow,43,12,16,784,Quiz,24,Excellent,Hard,9
2088,85,visual,Master topic,273,0.91,Slow,31,18,10,966,Video,97,Poor,Easy,7
2089,79,auditory,Gain certification,129,0.35,Fast,38,1,9,374,Video,44,Average,Hard,5
2090,16,kinesthetic,Master topic,248,0.94,Moderate,11,9,15,724,Video,9,Average,Hard,19
2091,19,kinesthetic,Complete course,231,0.57,Slow,26,16,9,629,Text,68,Average,Easy,2
2092,69,visual,Complete course,130,0.72,Fast,24,3,17,715,Video,27,Poor,Intermediate,18
2093,94,auditory,Gain certification,298,0.59,Fast,4,3,19,284,Quiz,73,Good,Easy,20
2094,69,kinesthetic,Gain certification,147,0.42,Moderate,44,17,1,766,Video,24,Excellent,Hard,6
2095,41,kinesthetic,Master topic,119,0.97,Slow,35,1,14,506,Video,56,Poor,Easy,10
2096,53,visual,Complete course,237,0.93,Fast,20,4,8,709,Text,27,Excellent,Easy,12
2097,29,auditory,Complete course,149,0.95,Slow,7,5,9,139,Text,65,Average,Intermediate,5
2098,12,auditory,Gain certification,223,0.22,Moderate,8,9,13,268,Quiz,79,Good,Hard,3
2099,19,auditory,Gain certification,298,0.32,Moderate,30,17,8,868,Video,21,Good,Intermediate,12
2100,79,auditory,Gain certification,54,0.52,Slow,15,7,19,231,Video,37,Excellent,Intermediate,12
2101,50,kinesthetic,Complete course,290,0.45,Fast,15,20,11,860,Video,93,Excellent,Intermediate,2
2102,99,auditory,Complete course,205,0.2,Fast,16,5,9,801,Text,81,Poor,Intermediate,15
2103,41,kinesthetic,Gain certification,289,0.48,Moderate,36,16,6,361,Text,76,Poor,Hard,6
2104,20,auditory,Gain certification,42,0.62,Fast,41,8,3,219,Video,94,Good,Hard,11
2105,23,kinesthetic,Gain certification,267,0.69,Slow,21,15,4,865,Quiz,86,Good,Intermediate,4
2106,61,kinesthetic,Gain certification,137,0.79,Slow,33,4,12,353,Video,50,Average,Easy,15
2107,47,auditory,Complete course,218,0.63,Slow,38,17,13,211,Video,37,Poor,Hard,9
2108,44,kinesthetic,Complete course,32,0.72,Moderate,47,13,3,412,Quiz,48,Poor,Easy,12
2109,73,kinesthetic,Master topic,84,0.34,Slow,3,15,11,827,Video,42,Excellent,Hard,17
2110,78,kinesthetic,Master topic,147,0.86,Moderate,22,11,7,444,Quiz,42,Excellent,Easy,8
2111,63,auditory,Gain certification,103,0.51,Moderate,16,3,3,954,Text,84,Average,Easy,8
2112,66,visual,Gain certification,219,0.54,Moderate,18,9,5,87,Text,39,Excellent,Intermediate,17
2113,78,kinesthetic,Complete course,239,0.47,Slow,42,6,9,677,Text,18,Poor,Intermediate,4
2114,97,auditory,Complete course,73,0.55,Moderate,4,1,8,503,Quiz,50,Excellent,Easy,2
2115,80,kinesthetic,Gain certification,182,0.61,Moderate,38,17,2,25,Text,67,Good,Intermediate,17
2116,11,visual,Complete course,151,0.8,Slow,3,14,2,282,Text,19,Excellent,Easy,5
2117,4,kinesthetic,Complete course,75,0.29,Slow,41,7,5,391,Video,78,Average,Intermediate,18
2118,95,kinesthetic,Master topic,267,0.75,Slow,17,10,1,712,Video,60,Good,Intermediate,16
2119,47,kinesthetic,Master topic,143,0.66,Fast,14,3,5,156,Video,31,Good,Intermediate,11
2120,88,kinesthetic,Gain certification,81,0.72,Fast,10,8,16,860,Quiz,16,Good,Easy,16
2121,88,kinesthetic,Gain certification,152,0.87,Moderate,30,16,12,701,Text,1,Excellent,Hard,6
2122,97,auditory,Gain certification,238,0.84,Slow,30,16,18,654,Quiz,72,Poor,Intermediate,4
2123,46,visual,Complete course,68,0.9,Slow,38,17,8,891,Quiz,64,Good,Easy,20
2124,19,auditory,Gain certification,235,0.41,Fast,33,4,16,154,Quiz,2,Excellent,Hard,17
2125,45,auditory,Complete course,123,0.61,Fast,24,11,14,105,Text,3,Poor,Intermediate,20
2126,98,auditory,Gain certification,76,0.25,Fast,5,12,2,155,Quiz,35,Good,Easy,3
2127,39,auditory,Master topic,228,0.21,Moderate,32,17,8,75,Video,8,Good,Hard,1
2128,25,kinesthetic,Gain certification,85,0.2,Moderate,45,18,5,841,Text,35,Good,Intermediate,14
2129,93,visual,Gain certification,102,0.69,Slow,25,17,1,682,Quiz,84,Excellent,Easy,18
2130,15,auditory,Master topic,48,0.67,Moderate,19,7,11,489,Video,4,Average,Hard,3
2131,9,kinesthetic,Master topic,125,1.0,Moderate,4,9,12,15,Video,2,Poor,Hard,14
2132,68,visual,Master topic,280,0.6,Fast,21,13,1,630,Quiz,49,Average,Hard,14
2133,96,auditory,Complete course,208,0.61,Slow,12,9,16,29,Text,10,Poor,Easy,6
2134,91,visual,Gain certification,186,0.68,Fast,23,16,2,274,Text,69,Poor,Easy,16
2135,46,visual,Master topic,138,0.82,Slow,49,18,18,554,Quiz,19,Poor,Intermediate,19
2136,66,visual,Master topic,196,0.94,Slow,43,15,17,319,Text,25,Good,Intermediate,14
2137,21,auditory,Master topic,85,0.41,Moderate,42,11,17,224,Video,89,Excellent,Hard,14
2138,41,kinesthetic,Complete course,295,1.0,Fast,32,13,15,391,Quiz,50,Poor,Intermediate,4
2139,85,visual,Complete course,280,0.86,Fast,26,14,14,371,Quiz,56,Poor,Hard,8
2140,98,auditory,Gain certification,65,0.83,Slow,39,5,9,3,Video,3,Average,Easy,1
2141,76,visual,Complete course,129,0.37,Moderate,44,5,4,886,Text,83,Good,Intermediate,1
2142,21,auditory,Gain certification,294,0.42,Fast,33,5,3,246,Text,15,Excellent,Easy,15
2143,79,auditory,Gain certification,37,0.41,Slow,11,4,11,181,Text,64,Excellent,Intermediate,7
2144,61,kinesthetic,Gain certification,130,0.38,Fast,3,8,19,461,Quiz,8,Poor,Easy,18
2145,96,auditory,Gain certification,209,0.52,Fast,48,1,1,258,Quiz,59,Average,Intermediate,17
2146,57,visual,Complete course,59,0.58,Slow,9,4,3,551,Quiz,17,Poor,Hard,14
2147,40,visual,Gain certification,295,0.86,Moderate,10,3,10,160,Quiz,49,Poor,Hard,20
2148,0,visual,Gain certification,148,0.41,Slow,11,17,11,240,Quiz,10,Good,Intermediate,19
2149,92,kinesthetic,Master topic,68,0.54,Fast,1,12,17,207,Quiz,89,Good,Intermediate,8
2150,2,auditory,Complete course,217,0.91,Fast,29,2,5,621,Text,15,Average,Easy,7
2151,21,auditory,Master topic,275,0.72,Moderate,9,7,19,976,Video,89,Good,Easy,15
2152,1,visual,Master topic,251,0.46,Fast,25,10,9,990,Quiz,29,Average,Easy,18
2153,85,kinesthetic,Gain certification,71,0.52,Slow,11,17,18,762,Quiz,80,Excellent,Hard,12
2154,29,visual,Gain certification,216,0.33,Slow,2,7,19,955,Quiz,34,Average,Intermediate,2
2155,40,kinesthetic,Gain certification,202,0.88,Fast,44,17,9,709,Quiz,99,Poor,Intermediate,6
2156,71,kinesthetic,Gain certification,82,0.92,Fast,34,5,6,787,Video,88,Poor,Intermediate,4
2157,90,kinesthetic,Complete course,210,0.4,Moderate,48,12,10,646,Quiz,10,Poor,Easy,10
2158,63,kinesthetic,Gain certification,229,0.22,Moderate,49,12,12,412,Video,80,Good,Easy,18
2159,55,visual,Complete course,267,0.53,Moderate,18,2,9,963,Video,82,Poor,Intermediate,6
2160,73,visual,Complete course,52,0.3,Moderate,21,20,10,536,Text,23,Poor,Intermediate,19
2161,33,auditory,Complete course,94,0.29,Fast,3,2,10,911,Text,92,Poor,Hard,8
2162,21,kinesthetic,Master topic,283,0.86,Fast,43,10,8,249,Text,44,Good,Hard,7
2163,22,auditory,Master topic,293,0.48,Moderate,45,15,17,84,Text,27,Excellent,Hard,12
2164,60,visual,Complete course,159,0.52,Fast,49,1,7,287,Quiz,34,Poor,Hard,15
2165,32,kinesthetic,Complete course,282,0.77,Fast,35,19,2,364,Text,94,Poor,Intermediate,20
2166,85,visual,Gain certification,253,0.57,Slow,37,19,18,68,Text,79,Average,Intermediate,16
2167,68,auditory,Gain certification,123,0.33,Fast,9,10,3,556,Video,68,Excellent,Intermediate,5
2168,83,visual,Master topic,171,0.67,Slow,14,17,11,137,Video,42,Excellent,Intermediate,6
2169,66,visual,Gain certification,161,0.55,Slow,45,15,15,376,Video,35,Excellent,Easy,16
2170,26,visual,Complete course,253,0.68,Moderate,38,20,19,275,Text,40,Excellent,Easy,16
2171,72,visual,Gain certification,43,0.38,Slow,11,9,4,16,Text,18,Poor,Hard,12
2172,81,auditory,Master topic,120,0.56,Slow,30,5,12,864,Text,84,Good,Intermediate,18
2173,57,kinesthetic,Master topic,57,0.54,Fast,41,20,16,22,Quiz,57,Good,Intermediate,13
2174,86,kinesthetic,Gain certification,61,0.84,Moderate,33,9,2,653,Quiz,98,Excellent,Easy,1
2175,73,visual,Master topic,257,0.35,Fast,48,10,5,835,Quiz,79,Good,Easy,14
2176,37,auditory,Master topic,115,0.36,Moderate,14,17,8,471,Video,0,Excellent,Intermediate,7
2177,44,kinesthetic,Complete course,117,0.79,Fast,3,4,3,387,Video,93,Good,Intermediate,14
2178,40,kinesthetic,Master topic,183,0.91,Fast,23,9,3,584,Video,38,Excellent,Intermediate,12
2179,4,kinesthetic,Complete course,261,0.97,Slow,9,16,13,455,Text,71,Good,Intermediate,10
2180,24,visual,Complete course,273,0.21,Slow,34,5,3,342,Quiz,97,Good,Hard,18
2181,23,kinesthetic,Complete course,200,0.41,Fast,12,3,13,231,Quiz,3,Poor,Intermediate,8
2182,94,auditory,Master topic,259,0.53,Fast,13,11,15,76,Quiz,15,Excellent,Easy,15
2183,93,kinesthetic,Complete course,234,0.21,Moderate,33,16,15,723,Quiz,20,Excellent,Easy,10
2184,41,kinesthetic,Gain certification,55,0.48,Moderate,46,8,4,885,Video,30,Good,Intermediate,7
2185,90,kinesthetic,Complete course,177,0.59,Fast,19,8,2,944,Quiz,33,Good,Hard,14
2186,14,kinesthetic,Complete course,215,0.21,Fast,25,12,9,447,Text,42,Average,Intermediate,6
2187,95,kinesthetic,Gain certification,217,0.36,Moderate,44,1,5,469,Video,98,Poor,Hard,8
2188,54,visual,Master topic,264,0.94,Fast,9,2,9,13,Text,69,Excellent,Hard,13
2189,0,kinesthetic,Master topic,94,0.39,Fast,1,6,2,228,Text,33,Average,Hard,3
2190,52,visual,Gain certification,288,0.98,Slow,26,16,18,666,Video,58,Excellent,Hard,17
2191,93,visual,Gain certification,30,0.63,Slow,38,9,11,505,Quiz,1,Good,Hard,5
2192,62,kinesthetic,Master topic,30,0.23,Moderate,14,5,7,53,Video,49,Poor,Intermediate,1
2193,68,visual,Complete course,176,0.72,Slow,33,4,14,935,Video,27,Excellent,Hard,20
2194,95,kinesthetic,Master topic,206,0.26,Moderate,29,13,4,935,Quiz,92,Excellent,Easy,16
2195,96,kinesthetic,Gain certification,237,0.33,Moderate,36,9,7,252,Video,13,Good,Hard,16
2196,49,auditory,Gain certification,257,0.31,Slow,34,19,14,113,Video,20,Poor,Hard,4
2197,2,kinesthetic,Master topic,192,0.85,Fast,17,7,10,905,Video,49,Excellent,Intermediate,15
2198,92,kinesthetic,Complete course,175,0.51,Fast,11,20,12,573,Text,99,Good,Easy,20
2199,73,kinesthetic,Gain certification,101,0.75,Moderate,28,16,12,926,Text,72,Excellent,Hard,10
2200,33,auditory,Gain certification,244,0.5,Slow,4,5,10,150,Video,71,Good,Hard,16
2201,13,auditory,Complete course,181,0.44,Fast,45,7,16,806,Quiz,65,Average,Hard,8
2202,34,kinesthetic,Gain certification,66,0.37,Slow,32,16,2,889,Quiz,78,Good,Intermediate,2
2203,27,kinesthetic,Gain certification,191,0.82,Moderate,34,19,7,988,Text,21,Poor,Hard,3
2204,39,visual,Gain certification,239,0.54,Fast,36,17,13,28,Video,56,Poor,Easy,1
2205,24,kinesthetic,Gain certification,296,0.57,Moderate,27,18,17,31,Quiz,79,Good,Hard,9
2206,51,visual,Gain certification,194,0.26,Fast,38,17,11,314,Text,73,Average,Easy,6
2207,47,visual,Complete course,122,0.73,Fast,10,12,11,814,Quiz,80,Excellent,Hard,18
2208,76,kinesthetic,Gain certification,131,0.73,Slow,8,14,5,943,Video,82,Average,Intermediate,18
2209,7,kinesthetic,Master topic,68,0.27,Fast,28,14,18,816,Quiz,38,Excellent,Easy,5
2210,1,kinesthetic,Gain certification,83,0.52,Fast,12,12,7,728,Text,40,Average,Easy,1
2211,54,auditory,Master topic,227,0.24,Slow,17,19,12,474,Video,6,Average,Hard,1
2212,73,auditory,Master topic,109,0.49,Moderate,8,12,14,799,Quiz,38,Average,Intermediate,20
2213,83,kinesthetic,Gain certification,277,0.46,Fast,20,18,3,11,Quiz,73,Poor,Hard,13
2214,13,auditory,Complete course,82,0.36,Fast,13,3,1,65,Quiz,79,Average,Hard,11
2215,7,visual,Gain certification,158,0.96,Moderate,36,15,5,220,Video,35,Good,Easy,10
2216,70,kinesthetic,Complete course,64,0.64,Moderate,14,15,1,72,Text,95,Poor,Intermediate,11
2217,20,auditory,Complete course,67,0.3,Slow,36,9,14,965,Text,32,Good,Intermediate,20
2218,60,auditory,Gain certification,84,0.6,Fast,28,1,12,338,Text,33,Average,Intermediate,13
2219,24,auditory,Gain certification,50,0.77,Fast,3,13,13,63,Video,9,Poor,Hard,16
2220,90,kinesthetic,Master topic,51,0.23,Slow,7,3,18,822,Text,76,Average,Hard,14
2221,25,visual,Complete course,178,0.87,Moderate,30,9,16,540,Text,22,Good,Intermediate,2
2222,58,kinesthetic,Master topic,277,0.64,Slow,4,9,6,891,Text,56,Excellent,Hard,13
2223,33,auditory,Gain certification,297,0.35,Moderate,24,16,15,998,Video,42,Excellent,Intermediate,15
2224,1,auditory,Master topic,276,0.43,Moderate,41,13,9,818,Quiz,51,Average,Hard,20
2225,30,kinesthetic,Master topic,58,0.68,Moderate,5,13,1,545,Quiz,54,Average,Intermediate,5
2226,44,visual,Master topic,150,0.51,Slow,16,3,7,367,Video,63,Average,Hard,14
2227,22,visual,Master topic,261,0.45,Moderate,6,6,2,158,Video,68,Average,Easy,13
2228,49,visual,Master topic,37,0.56,Fast,18,1,8,789,Video,42,Poor,Hard,18
2229,36,auditory,Gain certification,113,0.35,Slow,35,8,2,593,Video,47,Poor,Intermediate,8
2230,31,auditory,Gain certification,263,0.4,Slow,4,4,7,97,Video,92,Average,Intermediate,20
2231,12,visual,Master topic,236,0.87,Moderate,33,11,8,505,Video,36,Good,Easy,6
2232,54,kinesthetic,Complete course,224,0.2,Moderate,37,6,12,18,Text,55,Poor,Intermediate,3
2233,56,auditory,Master topic,205,0.75,Fast,13,18,11,675,Quiz,45,Good,Easy,17
2234,19,auditory,Gain certification,223,0.86,Moderate,41,5,13,407,Quiz,2,Good,Easy,9
2235,66,auditory,Complete course,33,0.97,Moderate,41,15,17,381,Quiz,50,Poor,Hard,18
2236,47,visual,Complete course,288,0.87,Moderate,15,1,6,594,Video,88,Average,Easy,13
2237,82,visual,Complete course,119,0.77,Fast,12,15,9,848,Quiz,22,Average,Easy,9
2238,76,auditory,Gain certification,180,0.82,Slow,10,7,18,55,Quiz,84,Good,Intermediate,19
2239,95,kinesthetic,Complete course,116,0.25,Fast,36,19,5,878,Video,70,Average,Intermediate,3
2240,50,kinesthetic,Complete course,40,0.89,Fast,3,9,15,722,Video,53,Poor,Hard,14
2241,7,kinesthetic,Gain certification,59,0.62,Fast,39,17,15,746,Quiz,97,Average,Easy,8
2242,37,visual,Master topic,294,0.38,Fast,10,14,2,935,Quiz,55,Excellent,Easy,19
2243,92,auditory,Master topic,203,0.85,Fast,38,1,7,871,Video,49,Good,Hard,18
2244,64,visual,Complete course,163,0.59,Fast,45,18,12,913,Video,30,Excellent,Intermediate,7
2245,65,visual,Complete course,104,0.47,Moderate,21,20,13,841,Quiz,61,Good,Hard,11
2246,87,kinesthetic,Complete course,214,0.57,Moderate,27,19,3,315,Quiz,64,Good,Hard,13
2247,27,visual,Master topic,46,0.85,Slow,40,10,14,178,Text,76,Good,Intermediate,10
2248,55,visual,Complete course,262,0.5,Fast,10,1,17,679,Video,84,Good,Intermediate,11
2249,98,kinesthetic,Gain certification,84,0.62,Moderate,38,16,17,988,Video,58,Good,Intermediate,3
2250,3,kinesthetic,Master topic,120,0.66,Slow,25,14,5,810,Quiz,27,Excellent,Intermediate,10
2251,86,auditory,Complete course,103,0.9,Slow,19,13,13,648,Video,63,Average,Hard,13
2252,19,visual,Complete course,272,0.54,Slow,32,15,8,669,Quiz,7,Excellent,Hard,5
2253,29,auditory,Master topic,180,0.3,Moderate,29,4,5,325,Video,86,Good,Easy,12
2254,36,kinesthetic,Gain certification,279,0.59,Moderate,10,13,4,764,Video,28,Excellent,Easy,11
2255,60,visual,Gain certification,201,0.98,Fast,17,1,16,64,Text,78,Average,Easy,9
2256,61,kinesthetic,Master topic,92,0.72,Moderate,42,12,10,795,Quiz,12,Average,Easy,4
2257,69,visual,Master topic,109,0.35,Moderate,5,19,13,348,Quiz,14,Good,Easy,1
2258,74,visual,Gain certification,137,0.32,Fast,12,12,15,855,Video,91,Good,Intermediate,11
2259,11,kinesthetic,Gain certification,91,0.47,Slow,18,12,14,80,Quiz,85,Poor,Easy,12
2260,0,visual,Master topic,65,0.26,Moderate,12,15,9,31,Text,0,Good,Intermediate,3
2261,12,kinesthetic,Complete course,42,0.25,Moderate,7,2,5,682,Video,69,Poor,Easy,12
2262,17,visual,Complete course,290,0.28,Slow,37,15,4,955,Video,57,Good,Hard,12
2263,66,visual,Master topic,37,0.47,Slow,30,10,12,197,Text,48,Poor,Hard,14
2264,61,kinesthetic,Master topic,72,0.95,Slow,44,15,9,234,Text,26,Excellent,Easy,5
2265,91,visual,Master topic,56,0.87,Slow,1,8,19,454,Quiz,64,Average,Easy,6
2266,25,visual,Gain certification,260,0.68,Slow,40,8,16,241,Quiz,39,Average,Hard,11
2267,39,kinesthetic,Master topic,211,0.59,Moderate,27,19,6,812,Text,7,Average,Hard,4
2268,67,auditory,Master topic,230,0.62,Slow,32,2,13,146,Text,8,Average,Hard,18
2269,36,kinesthetic,Gain certification,229,0.63,Fast,37,17,10,320,Text,33,Good,Easy,3
2270,35,auditory,Master topic,192,0.61,Moderate,44,6,11,632,Quiz,26,Average,Easy,14
2271,27,kinesthetic,Master topic,34,0.73,Moderate,44,11,15,594,Quiz,27,Excellent,Intermediate,3
2272,31,kinesthetic,Complete course,193,0.81,Fast,13,12,19,609,Text,65,Excellent,Easy,3
2273,42,kinesthetic,Master topic,258,0.73,Slow,44,1,15,384,Text,8,Excellent,Intermediate,9
2274,97,auditory,Gain certification,153,0.27,Slow,3,20,17,593,Text,54,Excellent,Hard,13
2275,71,visual,Gain certification,218,0.63,Fast,22,1,9,942,Quiz,96,Good,Intermediate,13
2276,63,auditory,Complete course,155,0.47,Moderate,2,12,16,529,Video,95,Excellent,Hard,10
2277,70,kinesthetic,Complete course,272,0.58,Moderate,3,15,4,992,Video,89,Excellent,Hard,2
2278,33,kinesthetic,Complete course,290,0.88,Moderate,14,17,4,3,Quiz,10,Good,Easy,10
2279,97,kinesthetic,Complete course,161,0.82,Fast,18,20,14,932,Text,25,Excellent,Hard,3
2280,93,visual,Gain certification,121,0.59,Moderate,22,2,4,104,Video,35,Good,Hard,18
2281,0,visual,Master topic,156,0.21,Fast,30,14,2,994,Video,41,Average,Intermediate,12
2282,7,visual,Gain certification,45,0.97,Fast,29,10,1,866,Quiz,21,Good,Intermediate,17
2283,4,auditory,Gain certification,235,0.53,Slow,26,19,3,761,Quiz,20,Good,Easy,4
2284,48,auditory,Complete course,178,0.85,Moderate,35,1,12,21,Video,38,Average,Easy,16
2285,73,auditory,Gain certification,251,0.41,Fast,19,16,14,981,Video,72,Good,Hard,6
2286,2,auditory,Gain certification,47,0.68,Slow,24,10,13,278,Quiz,8,Average,Hard,18
2287,71,kinesthetic,Master topic,161,0.92,Fast,36,11,10,503,Quiz,19,Excellent,Intermediate,9
2288,44,visual,Gain certification,69,0.23,Fast,42,10,1,376,Text,99,Average,Hard,1
2289,62,kinesthetic,Complete course,117,0.56,Slow,17,8,19,950,Text,56,Poor,Easy,16
2290,55,auditory,Master topic,100,0.55,Fast,14,19,10,537,Text,57,Excellent,Easy,1
2291,70,kinesthetic,Gain certification,107,0.7,Fast,47,4,8,799,Video,41,Poor,Intermediate,1
2292,33,kinesthetic,Complete course,261,0.32,Moderate,37,16,13,131,Text,26,Good,Hard,12
2293,38,visual,Master topic,273,0.44,Slow,38,10,17,177,Text,9,Poor,Hard,17
2294,84,visual,Master topic,157,0.32,Moderate,44,1,17,703,Text,21,Excellent,Intermediate,2
2295,77,auditory,Complete course,232,0.7,Fast,27,11,19,494,Quiz,44,Average,Intermediate,14
2296,1,kinesthetic,Master topic,57,0.83,Slow,2,2,5,882,Text,8,Good,Hard,8
2297,43,visual,Gain certification,102,0.89,Slow,39,1,17,235,Quiz,59,Excellent,Easy,8
2298,51,kinesthetic,Gain certification,253,0.3,Moderate,18,6,11,575,Text,78,Poor,Hard,12
2299,48,auditory,Complete course,201,0.21,Fast,7,19,13,472,Video,59,Average,Hard,17
2300,94,kinesthetic,Master topic,253,0.91,Fast,5,14,6,554,Video,53,Poor,Intermediate,7
2301,72,visual,Gain certification,84,0.74,Fast,5,13,4,976,Text,50,Good,Hard,17
2302,1,auditory,Gain certification,30,0.4,Slow,9,13,2,128,Text,70,Good,Hard,7
2303,51,kinesthetic,Gain certification,64,0.21,Moderate,47,8,6,948,Video,91,Poor,Easy,5
2304,65,kinesthetic,Complete course,163,0.36,Moderate,11,3,18,131,Video,10,Average,Easy,4
2305,49,kinesthetic,Complete course,73,0.41,Moderate,44,6,2,103,Text,97,Poor,Hard,9
2306,54,auditory,Master topic,271,0.88,Fast,44,5,4,141,Text,80,Excellent,Intermediate,15
2307,26,kinesthetic,Complete course,236,0.4,Slow,17,18,7,204,Video,38,Poor,Intermediate,16
2308,34,visual,Master topic,204,0.8,Fast,31,7,7,153,Quiz,34,Good,Intermediate,6
2309,14,auditory,Master topic,231,0.76,Slow,34,12,7,961,Video,20,Average,Intermediate,3
2310,32,visual,Master topic,85,0.74,Fast,48,1,5,595,Text,49,Excellent,Easy,19
2311,48,auditory,Complete course,247,0.64,Moderate,17,12,10,793,Video,15,Good,Hard,10
2312,40,kinesthetic,Complete course,140,0.51,Moderate,13,4,4,917,Text,41,Poor,Easy,16
