learner_id,previous_performance,learning_style,learning_goal,engagement_time,completion_rate,preferred_pacing,content_interaction,prev_course
2164,60,visual,Complete course,159,0.52,Fast,49,1
2165,32,kinesthetic,Complete course,282,0.77,Fast,35,19
2166,85,visual,Gain certification,253,0.57,Slow,37,19
2167,68,auditory,Gain certification,123,0.33,Fast,9,10
2168,83,visual,Master topic,171,0.67,Slow,14,17
2169,66,visual,Gain certification,161,0.55,Slow,45,15
2170,26,visual,Complete course,253,0.68,Moderate,38,20
2171,72,visual,Gain certification,43,0.38,Slow,11,9
2172,81,auditory,Master topic,120,0.56,Slow,30,5
2173,57,kinesthetic,Master topic,57,0.54,Fast,41,20
2174,86,kinesthetic,Gain certification,61,0.84,Moderate,33,9
2175,73,visual,Master topic,257,0.35,Fast,48,10
2176,37,auditory,Master topic,115,0.36,Moderate,14,17
2177,44,kinesthetic,Complete course,117,0.79,Fast,3,4
2178,40,kinesthetic,Master topic,183,0.91,Fast,23,9
2179,4,kinesthetic,Complete course,261,0.97,Slow,9,16
2180,24,visual,Complete course,273,0.21,Slow,34,5
2181,23,kinesthetic,Complete course,200,0.41,Fast,12,3
2182,94,auditory,Master topic,259,0.53,Fast,13,11
2183,93,kinesthetic,Complete course,234,0.21,Moderate,33,16
2184,41,kinesthetic,Gain certification,55,0.48,Moderate,46,8
2185,90,kinesthetic,Complete course,177,0.59,Fast,19,8
2186,14,kinesthetic,Complete course,215,0.21,Fast,25,12
2187,95,kinesthetic,Gain certification,217,0.36,Moderate,44,1
2188,54,visual,Master topic,264,0.94,Fast,9,2
2189,0,kinesthetic,Master topic,94,0.39,Fast,1,6
2190,52,visual,Gain certification,288,0.98,Slow,26,16
2191,93,visual,Gain certification,30,0.63,Slow,38,9
2192,62,kinesthetic,Master topic,30,0.23,Moderate,14,5
2193,68,visual,Complete course,176,0.72,Slow,33,4
2194,95,kinesthetic,Master topic,206,0.26,Moderate,29,13
2195,96,kinesthetic,Gain certification,237,0.33,Moderate,36,9
2196,49,auditory,Gain certification,257,0.31,Slow,34,19
2197,2,kinesthetic,Master topic,192,0.85,Fast,17,7
2198,92,kinesthetic,Complete course,175,0.51,Fast,11,20
2199,73,kinesthetic,Gain certification,101,0.75,Moderate,28,16
2200,33,auditory,Gain certification,244,0.5,Slow,4,5
2201,13,auditory,Complete course,181,0.44,Fast,45,7
2202,34,kinesthetic,Gain certification,66,0.37,Slow,32,16
2203,27,kinesthetic,Gain certification,191,0.82,Moderate,34,19
2204,39,visual,Gain certification,239,0.54,Fast,36,17
2205,24,kinesthetic,Gain certification,296,0.57,Moderate,27,18
2206,51,visual,Gain certification,194,0.26,Fast,38,17
2207,47,visual,Complete course,122,0.73,Fast,10,12
2208,76,kinesthetic,Gain certification,131,0.73,Slow,8,14
2209,7,kinesthetic,Master topic,68,0.27,Fast,28,14
2210,1,kinesthetic,Gain certification,83,0.52,Fast,12,12
2211,54,auditory,Master topic,227,0.24,Slow,17,19
2212,73,auditory,Master topic,109,0.49,Moderate,8,12
2213,83,kinesthetic,Gain certification,277,0.46,Fast,20,18
2214,13,auditory,Complete course,82,0.36,Fast,13,3
2215,7,visual,Gain certification,158,0.96,Moderate,36,15
2216,70,kinesthetic,Complete course,64,0.64,Moderate,14,15
2217,20,auditory,Complete course,67,0.3,Slow,36,9
2218,60,auditory,Gain certification,84,0.6,Fast,28,1
2219,24,auditory,Gain certification,50,0.77,Fast,3,13
2220,90,kinesthetic,Master topic,51,0.23,Slow,7,3
2221,25,visual,Complete course,178,0.87,Moderate,30,9
2222,58,kinesthetic,Master topic,277,0.64,Slow,4,9
2223,33,auditory,Gain certification,297,0.35,Moderate,24,16
2224,1,auditory,Master topic,276,0.43,Moderate,41,13
2225,30,kinesthetic,Master topic,58,0.68,Moderate,5,13
2226,44,visual,Master topic,150,0.51,Slow,16,3
2227,22,visual,Master topic,261,0.45,Moderate,6,6
2228,49,visual,Master topic,37,0.56,Fast,18,1
2229,36,auditory,Gain certification,113,0.35,Slow,35,8
2230,31,auditory,Gain certification,263,0.4,Slow,4,4
2231,12,visual,Master topic,236,0.87,Moderate,33,11
2232,54,kinesthetic,Complete course,224,0.2,Moderate,37,6
2233,56,auditory,Master topic,205,0.75,Fast,13,18
2234,19,auditory,Gain certification,223,0.86,Moderate,41,5
2235,66,auditory,Complete course,33,0.97,Moderate,41,15
2236,47,visual,Complete course,288,0.87,Moderate,15,1
2237,82,visual,Complete course,119,0.77,Fast,12,15
2238,76,auditory,Gain certification,180,0.82,Slow,10,7
2239,95,kinesthetic,Complete course,116,0.25,Fast,36,19
2240,50,kinesthetic,Complete course,40,0.89,Fast,3,9
2241,7,kinesthetic,Gain certification,59,0.62,Fast,39,17
2242,37,visual,Master topic,294,0.38,Fast,10,14
2243,92,auditory,Master topic,203,0.85,Fast,38,1
2244,64,visual,Complete course,163,0.59,Fast,45,18
2245,65,visual,Complete course,104,0.47,Moderate,21,20
2246,87,kinesthetic,Complete course,214,0.57,Moderate,27,19
2247,27,visual,Master topic,46,0.85,Slow,40,10
2248,55,visual,Complete course,262,0.5,Fast,10,1
2249,98,kinesthetic,Gain certification,84,0.62,Moderate,38,16
2250,3,kinesthetic,Master topic,120,0.66,Slow,25,14
2251,86,auditory,Complete course,103,0.9,Slow,19,13
2252,19,visual,Complete course,272,0.54,Slow,32,15
2253,29,auditory,Master topic,180,0.3,Moderate,29,4
2254,36,kinesthetic,Gain certification,279,0.59,Moderate,10,13
2255,60,visual,Gain certification,201,0.98,Fast,17,1
2256,61,kinesthetic,Master topic,92,0.72,Moderate,42,12
2257,69,visual,Master topic,109,0.35,Moderate,5,19
2258,74,visual,Gain certification,137,0.32,Fast,12,12
2259,11,kinesthetic,Gain certification,91,0.47,Slow,18,12
2260,0,visual,Master topic,65,0.26,Moderate,12,15
2261,12,kinesthetic,Complete course,42,0.25,Moderate,7,2
2262,17,visual,Complete course,290,0.28,Slow,37,15
2263,66,visual,Master topic,37,0.47,Slow,30,10
2264,61,kinesthetic,Master topic,72,0.95,Slow,44,15
2265,91,visual,Master topic,56,0.87,Slow,1,8
2266,25,visual,Gain certification,260,0.68,Slow,40,8
2267,39,kinesthetic,Master topic,211,0.59,Moderate,27,19
2268,67,auditory,Master topic,230,0.62,Slow,32,2
2269,36,kinesthetic,Gain certification,229,0.63,Fast,37,17
2270,35,auditory,Master topic,192,0.61,Moderate,44,6
2271,27,kinesthetic,Master topic,34,0.73,Moderate,44,11
2272,31,kinesthetic,Complete course,193,0.81,Fast,13,12
2273,42,kinesthetic,Master topic,258,0.73,Slow,44,1
2274,97,auditory,Gain certification,153,0.27,Slow,3,20
2275,71,visual,Gain certification,218,0.63,Fast,22,1
2276,63,auditory,Complete course,155,0.47,Moderate,2,12
2277,70,kinesthetic,Complete course,272,0.58,Moderate,3,15
2278,33,kinesthetic,Complete course,290,0.88,Moderate,14,17
2279,97,kinesthetic,Complete course,161,0.82,Fast,18,20
2280,93,visual,Gain certification,121,0.59,Moderate,22,2
2281,0,visual,Master topic,156,0.21,Fast,30,14
2282,7,visual,Gain certification,45,0.97,Fast,29,10
2283,4,auditory,Gain certification,235,0.53,Slow,26,19
2284,48,auditory,Complete course,178,0.85,Moderate,35,1
2285,73,auditory,Gain certification,251,0.41,Fast,19,16
2286,2,auditory,Gain certification,47,0.68,Slow,24,10
2287,71,kinesthetic,Master topic,161,0.92,Fast,36,11
2288,44,visual,Gain certification,69,0.23,Fast,42,10
2289,62,kinesthetic,Complete course,117,0.56,Slow,17,8
2290,55,auditory,Master topic,100,0.55,Fast,14,19
2291,70,kinesthetic,Gain certification,107,0.7,Fast,47,4
2292,33,kinesthetic,Complete course,261,0.32,Moderate,37,16
2293,38,visual,Master topic,273,0.44,Slow,38,10
2294,84,visual,Master topic,157,0.32,Moderate,44,1
2295,77,auditory,Complete course,232,0.7,Fast,27,11
2296,1,kinesthetic,Master topic,57,0.83,Slow,2,2
2297,43,visual,Gain certification,102,0.89,Slow,39,1
2298,51,kinesthetic,Gain certification,253,0.3,Moderate,18,6
2299,48,auditory,Complete course,201,0.21,Fast,7,19
2300,94,kinesthetic,Master topic,253,0.91,Fast,5,14
2301,72,visual,Gain certification,84,0.74,Fast,5,13
2302,1,auditory,Gain certification,30,0.4,Slow,9,13
2303,51,kinesthetic,Gain certification,64,0.21,Moderate,47,8
2304,65,kinesthetic,Complete course,163,0.36,Moderate,11,3
2305,49,kinesthetic,Complete course,73,0.41,Moderate,44,6
2306,54,auditory,Master topic,271,0.88,Fast,44,5
2307,26,kinesthetic,Complete course,236,0.4,Slow,17,18
2308,34,visual,Master topic,204,0.8,Fast,31,7
2309,14,auditory,Master topic,231,0.76,Slow,34,12
2310,32,visual,Master topic,85,0.74,Fast,48,1
2311,48,auditory,Complete course,247,0.64,Moderate,17,12
2312,40,kinesthetic,Complete course,140,0.51,Moderate,13,4
2313,63,visual,Complete course,156,0.34,Slow,9,15
2314,50,kinesthetic,Complete course,132,0.27,Slow,34,9
2315,6,auditory,Gain certification,71,0.28,Slow,34,8
2316,25,kinesthetic,Master topic,261,0.25,Fast,32,11
2317,56,kinesthetic,Gain certification,94,0.42,Moderate,6,15
2318,56,visual,Gain certification,181,0.77,Slow,35,10
2319,48,auditory,Complete course,63,0.82,Moderate,16,5
2320,54,kinesthetic,Master topic,132,0.83,Slow,8,2
2321,66,auditory,Gain certification,274,0.83,Slow,9,14
2322,2,kinesthetic,Complete course,195,0.95,Moderate,31,3
2323,90,visual,Master topic,132,0.77,Moderate,5,19
2324,92,kinesthetic,Complete course,194,0.57,Moderate,36,15
2325,49,kinesthetic,Gain certification,75,0.88,Fast,35,4
2326,37,auditory,Master topic,245,0.59,Fast,34,17
2327,64,visual,Complete course,222,0.92,Fast,9,11
2328,76,auditory,Master topic,212,0.92,Fast,41,19
2329,35,kinesthetic,Complete course,246,0.53,Slow,15,17
2330,79,visual,Gain certification,260,0.7,Moderate,21,7
2331,43,visual,Gain certification,96,0.59,Fast,3,3
2332,34,visual,Complete course,69,0.86,Fast,13,5
2333,13,visual,Complete course,55,0.9,Fast,15,18
2334,34,auditory,Master topic,162,0.24,Moderate,25,19
2335,71,visual,Master topic,184,0.29,Fast,39,20
2336,5,auditory,Master topic,229,0.55,Moderate,31,2
2337,82,visual,Complete course,215,0.54,Slow,30,19
2338,17,visual,Complete course,275,0.95,Moderate,31,15
2339,23,kinesthetic,Master topic,179,0.83,Fast,38,10
2340,55,auditory,Gain certification,156,0.47,Moderate,45,7
2341,40,kinesthetic,Complete course,295,0.75,Slow,25,19
2342,50,visual,Complete course,49,0.62,Slow,49,14
2343,61,auditory,Gain certification,38,0.7,Moderate,40,4
2344,48,auditory,Gain certification,265,0.24,Moderate,48,12
2345,31,visual,Complete course,155,0.94,Slow,8,13
2346,57,auditory,Gain certification,239,0.84,Slow,6,15
2347,62,visual,Master topic,39,0.41,Fast,26,14
2348,62,kinesthetic,Gain certification,165,0.99,Fast,4,11
2349,86,kinesthetic,Gain certification,55,0.44,Fast,22,10
2350,32,auditory,Master topic,277,0.49,Slow,17,12
2351,44,visual,Complete course,129,0.93,Fast,22,15
2352,88,visual,Master topic,265,0.47,Moderate,2,11
2353,64,kinesthetic,Complete course,259,0.94,Moderate,39,7
2354,73,kinesthetic,Master topic,177,0.5,Fast,48,20
2355,85,auditory,Gain certification,133,0.25,Fast,34,3
2356,71,kinesthetic,Gain certification,299,0.57,Slow,20,16
2357,61,kinesthetic,Gain certification,137,0.88,Moderate,29,13
2358,64,kinesthetic,Gain certification,270,0.38,Moderate,37,6
2359,87,auditory,Gain certification,100,0.34,Slow,8,11
2360,53,visual,Gain certification,167,0.62,Slow,28,7
2361,53,visual,Complete course,113,0.72,Slow,30,10
2362,94,kinesthetic,Gain certification,99,0.27,Moderate,17,1
2363,76,visual,Master topic,260,0.63,Moderate,13,9
2364,38,auditory,Complete course,189,0.32,Fast,44,19
2365,33,kinesthetic,Complete course,243,0.71,Slow,5,6
2366,12,visual,Gain certification,183,0.83,Fast,8,10
2367,86,kinesthetic,Master topic,290,0.88,Slow,6,12
2368,90,auditory,Gain certification,295,0.4,Slow,41,3
2369,98,auditory,Master topic,50,0.41,Slow,22,6
2370,47,kinesthetic,Gain certification,108,0.4,Slow,1,14
2371,60,visual,Complete course,229,0.57,Moderate,21,19
2372,97,kinesthetic,Complete course,32,0.65,Moderate,20,12
2373,49,visual,Complete course,130,0.84,Slow,31,13
2374,58,auditory,Gain certification,216,0.88,Slow,18,10
2375,61,kinesthetic,Complete course,237,0.58,Slow,7,16
2376,14,auditory,Master topic,155,0.55,Fast,22,8
2377,66,kinesthetic,Master topic,234,0.95,Fast,7,15
2378,70,kinesthetic,Complete course,153,0.89,Fast,8,14
2379,11,auditory,Gain certification,149,0.79,Fast,22,18
2380,13,auditory,Master topic,280,0.41,Moderate,29,5
2381,42,auditory,Gain certification,126,0.82,Fast,10,7
2382,10,kinesthetic,Complete course,81,0.36,Moderate,20,5
2383,26,kinesthetic,Gain certification,224,0.88,Fast,23,18
2384,72,visual,Gain certification,202,0.59,Fast,36,4
2385,5,kinesthetic,Complete course,176,0.68,Moderate,7,7
2386,15,visual,Gain certification,45,0.58,Moderate,44,18
2387,75,visual,Master topic,238,0.3,Slow,46,8
2388,17,auditory,Gain certification,133,0.4,Slow,45,3
2389,84,auditory,Gain certification,280,0.25,Slow,18,11
2390,71,visual,Gain certification,289,0.59,Fast,36,6
2391,46,visual,Master topic,269,0.41,Slow,25,10
2392,96,auditory,Master topic,227,0.92,Slow,38,13
2393,12,visual,Gain certification,38,0.88,Fast,42,5
2394,34,kinesthetic,Master topic,66,0.59,Slow,35,5
2395,34,kinesthetic,Gain certification,136,0.3,Slow,5,9
2396,39,visual,Master topic,289,0.96,Slow,4,17
2397,94,auditory,Gain certification,137,0.68,Fast,33,19
2398,19,kinesthetic,Gain certification,116,0.6,Moderate,35,10
2399,94,kinesthetic,Master topic,185,0.65,Slow,31,14
2400,80,visual,Complete course,116,0.91,Moderate,12,4
2401,51,visual,Complete course,185,0.96,Fast,37,7
2402,17,visual,Gain certification,70,0.32,Slow,7,9
2403,40,visual,Gain certification,146,0.28,Slow,26,19
2404,32,auditory,Gain certification,159,0.86,Fast,30,13
2405,66,kinesthetic,Complete course,297,0.98,Moderate,14,2
2406,1,auditory,Gain certification,42,0.47,Moderate,25,4
2407,17,auditory,Master topic,90,0.84,Fast,8,17
2408,18,auditory,Complete course,79,0.59,Moderate,23,13
2409,45,auditory,Gain certification,226,0.47,Fast,46,2
2410,28,auditory,Master topic,95,0.6,Fast,20,12
2411,42,kinesthetic,Complete course,48,0.66,Moderate,14,2
2412,96,auditory,Complete course,289,0.79,Slow,44,8
2413,39,kinesthetic,Gain certification,108,0.62,Moderate,32,19
2414,69,kinesthetic,Gain certification,61,0.64,Slow,13,13
2415,41,kinesthetic,Gain certification,251,0.82,Moderate,20,4
2416,41,kinesthetic,Master topic,250,0.49,Moderate,10,2
2417,6,visual,Gain certification,172,0.42,Slow,3,19
2418,46,kinesthetic,Gain certification,140,0.81,Fast,46,9
2419,64,visual,Master topic,87,0.56,Fast,4,19
2420,43,kinesthetic,Complete course,61,0.98,Slow,4,13
2421,20,auditory,Gain certification,67,0.57,Slow,48,8
2422,83,auditory,Complete course,30,0.62,Moderate,7,20
2423,37,visual,Gain certification,212,0.59,Moderate,33,12
2424,26,kinesthetic,Gain certification,230,0.97,Fast,5,12
2425,42,auditory,Gain certification,177,0.97,Slow,15,7
2426,23,auditory,Master topic,280,0.84,Fast,39,20
2427,99,visual,Gain certification,58,0.72,Moderate,34,16
2428,80,kinesthetic,Master topic,82,0.32,Moderate,13,16
2429,31,auditory,Master topic,217,0.89,Fast,42,2
2430,21,kinesthetic,Complete course,130,0.82,Moderate,21,4
2431,67,visual,Complete course,262,0.7,Slow,28,13
2432,1,kinesthetic,Complete course,242,0.38,Fast,33,19
2433,63,visual,Gain certification,239,0.58,Slow,32,20
2434,41,visual,Master topic,121,0.2,Moderate,24,4
2435,50,kinesthetic,Complete course,272,0.65,Moderate,25,9
2436,54,auditory,Gain certification,149,0.43,Moderate,14,9
2437,94,visual,Complete course,228,0.58,Slow,42,14
2438,45,visual,Gain certification,89,0.92,Slow,16,4
2439,77,visual,Complete course,61,0.76,Fast,36,10
2440,53,visual,Complete course,191,0.3,Moderate,10,5
2441,13,kinesthetic,Gain certification,228,0.55,Fast,18,10
2442,68,kinesthetic,Complete course,216,0.23,Moderate,15,2
2443,2,visual,Master topic,107,0.95,Slow,47,8
2444,3,auditory,Gain certification,75,0.39,Fast,39,18
2445,43,auditory,Gain certification,59,0.81,Fast,15,4
2446,16,auditory,Gain certification,96,0.3,Slow,31,5
2447,26,kinesthetic,Gain certification,132,0.7,Moderate,3,18
2448,50,kinesthetic,Complete course,220,0.83,Moderate,16,10
2449,64,visual,Complete course,232,0.36,Slow,17,18
2450,0,kinesthetic,Complete course,42,0.97,Fast,23,5
2451,88,kinesthetic,Master topic,147,0.61,Slow,15,13
2452,79,visual,Gain certification,295,0.92,Fast,35,19
2453,15,kinesthetic,Complete course,83,0.66,Slow,10,10
2454,78,visual,Gain certification,148,0.57,Fast,12,5
2455,35,kinesthetic,Complete course,205,0.85,Slow,28,3
2456,30,kinesthetic,Master topic,167,0.27,Slow,37,12
2457,68,auditory,Complete course,211,0.89,Moderate,32,15
2458,73,visual,Master topic,76,0.75,Fast,18,17
2459,1,kinesthetic,Master topic,57,0.65,Fast,26,10
2460,90,kinesthetic,Complete course,224,0.64,Slow,5,9
2461,62,auditory,Master topic,153,0.99,Slow,30,12
2462,41,auditory,Master topic,220,0.97,Slow,36,17
2463,65,kinesthetic,Gain certification,173,0.95,Slow,12,14
2464,23,auditory,Gain certification,288,0.2,Slow,19,16
2465,41,auditory,Complete course,208,0.23,Moderate,20,6
2466,81,auditory,Gain certification,185,0.33,Moderate,19,8
2467,94,auditory,Master topic,133,0.3,Slow,32,5
2468,52,auditory,Gain certification,111,0.3,Slow,46,10
2469,99,auditory,Complete course,80,0.24,Moderate,16,15
2470,96,auditory,Complete course,108,0.72,Moderate,41,4
2471,32,visual,Gain certification,164,0.41,Moderate,21,4
2472,33,visual,Gain certification,51,0.79,Slow,37,7
2473,16,kinesthetic,Complete course,31,0.5,Slow,28,6
2474,31,auditory,Complete course,168,0.32,Moderate,10,2
2475,82,kinesthetic,Master topic,251,0.76,Fast,19,17
2476,74,visual,Master topic,122,0.71,Fast,20,16
2477,93,kinesthetic,Gain certification,295,0.66,Slow,3,14
2478,49,kinesthetic,Complete course,222,0.33,Slow,1,5
2479,74,auditory,Gain certification,239,0.25,Slow,30,20
2480,55,kinesthetic,Complete course,70,0.65,Slow,1,4
2481,49,visual,Complete course,180,0.51,Moderate,7,2
2482,56,auditory,Master topic,73,0.23,Fast,30,16
2483,39,auditory,Gain certification,223,0.65,Fast,8,18
2484,84,auditory,Complete course,50,0.78,Slow,42,1
2485,84,visual,Gain certification,126,0.98,Fast,28,17
2486,42,auditory,Complete course,241,0.63,Slow,23,3
2487,41,visual,Complete course,31,0.2,Fast,44,16
2488,64,visual,Complete course,166,0.76,Moderate,17,18
2489,13,kinesthetic,Complete course,139,0.66,Moderate,15,4
2490,47,kinesthetic,Master topic,216,0.98,Fast,47,4
2491,97,auditory,Master topic,285,0.98,Slow,19,8
2492,71,kinesthetic,Gain certification,121,0.91,Fast,16,16
2493,82,visual,Master topic,111,0.94,Moderate,38,11
2494,27,visual,Complete course,274,0.58,Fast,39,16
2495,89,visual,Master topic,48,0.34,Slow,44,14
2496,15,auditory,Gain certification,181,0.83,Slow,21,3
2497,65,visual,Master topic,212,0.66,Slow,18,16
2498,88,kinesthetic,Master topic,138,0.34,Moderate,28,9
2499,52,visual,Master topic,100,0.26,Fast,21,10
2500,78,auditory,Master topic,133,0.28,Moderate,8,15
2501,2,kinesthetic,Gain certification,84,0.39,Fast,29,19
2502,79,auditory,Master topic,56,0.28,Slow,19,20
2503,58,auditory,Gain certification,39,0.63,Moderate,21,19
2504,90,auditory,Gain certification,236,0.51,Fast,36,9
2505,83,auditory,Gain certification,134,0.99,Moderate,4,11
2506,33,visual,Master topic,225,0.33,Moderate,47,10
2507,26,auditory,Master topic,65,0.91,Slow,28,20
2508,35,kinesthetic,Complete course,241,0.36,Slow,15,4
2509,47,visual,Master topic,142,0.31,Fast,5,13
2510,61,kinesthetic,Gain certification,268,0.68,Fast,43,12
2511,2,kinesthetic,Master topic,258,0.22,Moderate,43,15
2512,81,kinesthetic,Master topic,168,0.69,Fast,22,16
2513,92,kinesthetic,Master topic,129,0.41,Slow,18,6
2514,95,kinesthetic,Complete course,298,0.65,Slow,35,11
2515,63,visual,Complete course,160,0.99,Slow,8,18
2516,22,auditory,Master topic,120,0.45,Fast,12,18
2517,22,kinesthetic,Complete course,186,0.82,Fast,45,14
2518,23,visual,Complete course,260,0.99,Fast,9,9
2519,30,auditory,Master topic,268,0.94,Moderate,47,7
2520,71,kinesthetic,Gain certification,78,0.44,Fast,12,12
2521,76,visual,Master topic,209,0.52,Fast,2,1
2522,63,visual,Gain certification,259,0.24,Fast,37,11
2523,47,kinesthetic,Master topic,31,0.52,Slow,40,10
2524,70,auditory,Complete course,285,0.29,Moderate,11,5
2525,71,visual,Gain certification,94,0.92,Moderate,27,8
2526,25,auditory,Complete course,275,0.49,Fast,49,18
2527,55,visual,Complete course,280,0.22,Fast,39,18
2528,55,auditory,Gain certification,134,0.77,Slow,44,11
2529,43,visual,Gain certification,61,0.83,Fast,37,4
2530,73,kinesthetic,Master topic,91,0.72,Moderate,43,1
2531,34,auditory,Gain certification,124,0.81,Fast,33,17
2532,51,kinesthetic,Master topic,198,0.64,Moderate,16,9
2533,34,visual,Gain certification,175,0.86,Slow,36,10
2534,84,auditory,Master topic,132,0.49,Moderate,43,18
2535,9,visual,Master topic,256,0.86,Fast,1,3
2536,13,auditory,Complete course,157,0.24,Fast,43,18
2537,67,auditory,Gain certification,55,0.98,Moderate,47,20
2538,91,visual,Complete course,129,0.5,Fast,20,10
2539,80,kinesthetic,Master topic,281,0.92,Slow,7,6
2540,73,kinesthetic,Gain certification,82,0.39,Slow,35,5
2541,41,auditory,Complete course,255,0.8,Slow,17,20
2542,59,kinesthetic,Master topic,78,0.5,Moderate,1,6
2543,58,auditory,Gain certification,193,0.67,Fast,34,6
2544,97,visual,Master topic,189,0.39,Fast,27,7
2545,18,auditory,Complete course,113,0.22,Slow,22,17
2546,49,visual,Gain certification,206,0.65,Moderate,49,15
2547,57,visual,Master topic,202,0.34,Moderate,1,1
2548,54,visual,Master topic,96,0.29,Slow,14,1
2549,87,auditory,Gain certification,287,0.66,Fast,18,13
2550,38,auditory,Complete course,249,0.4,Moderate,23,5
2551,52,auditory,Master topic,233,0.29,Fast,31,20
2552,93,visual,Master topic,47,0.67,Fast,44,18
2553,37,auditory,Complete course,289,0.96,Fast,38,19
2554,19,auditory,Master topic,284,0.43,Moderate,46,2
2555,29,auditory,Gain certification,126,0.29,Fast,33,13
2556,4,visual,Master topic,248,0.8,Moderate,7,18
2557,57,visual,Complete course,130,0.57,Slow,46,12
2558,49,visual,Gain certification,277,0.77,Slow,42,16
2559,16,auditory,Gain certification,172,0.3,Fast,42,15
2560,73,auditory,Master topic,174,0.85,Fast,23,4
2561,77,visual,Master topic,167,0.23,Slow,18,9
2562,65,auditory,Master topic,174,0.67,Slow,45,14
2563,33,visual,Gain certification,286,0.8,Moderate,40,15
2564,34,auditory,Master topic,232,0.81,Moderate,1,4
2565,40,kinesthetic,Master topic,124,0.59,Slow,42,15
2566,28,kinesthetic,Gain certification,196,0.76,Slow,26,17
2567,37,visual,Complete course,194,0.44,Fast,9,10
2568,56,auditory,Gain certification,293,0.42,Slow,25,8
2569,62,kinesthetic,Master topic,172,0.36,Fast,13,13
2570,16,kinesthetic,Complete course,177,0.49,Fast,48,16
2571,42,auditory,Gain certification,285,0.75,Fast,6,7
2572,56,auditory,Complete course,133,0.5,Moderate,46,6
2573,36,kinesthetic,Gain certification,220,0.81,Fast,47,12
2574,12,kinesthetic,Master topic,273,0.6,Fast,8,18
2575,28,visual,Gain certification,148,0.9,Moderate,26,8
2576,73,kinesthetic,Master topic,52,0.62,Slow,34,6
2577,90,visual,Gain certification,114,0.25,Fast,41,18
2578,97,kinesthetic,Complete course,129,0.75,Fast,18,3
2579,30,kinesthetic,Complete course,37,0.75,Slow,3,17
2580,1,auditory,Master topic,74,0.67,Moderate,16,13
2581,66,auditory,Master topic,285,0.7,Moderate,25,5
2582,87,visual,Complete course,296,0.59,Slow,18,1
2583,13,visual,Master topic,97,0.3,Moderate,36,10
2584,45,kinesthetic,Gain certification,165,0.59,Moderate,32,15
2585,33,kinesthetic,Gain certification,44,0.94,Moderate,7,13
2586,21,auditory,Gain certification,123,0.27,Slow,28,3
2587,89,auditory,Gain certification,103,0.37,Slow,34,2
2588,15,kinesthetic,Master topic,169,0.62,Fast,23,14
2589,91,auditory,Complete course,52,0.72,Moderate,46,16
2590,52,auditory,Master topic,97,0.51,Slow,47,3
2591,22,visual,Gain certification,35,0.79,Fast,43,3
2592,60,auditory,Complete course,128,0.27,Fast,35,6
2593,64,auditory,Master topic,242,0.63,Slow,34,4
2594,19,auditory,Master topic,31,0.79,Fast,7,7
2595,12,kinesthetic,Gain certification,187,0.5,Fast,4,1
2596,66,kinesthetic,Complete course,227,0.83,Slow,26,13
2597,42,visual,Gain certification,218,0.41,Moderate,39,16
2598,94,kinesthetic,Gain certification,194,0.73,Slow,14,15
2599,9,visual,Master topic,292,0.24,Fast,4,9
2600,39,auditory,Master topic,100,0.41,Fast,15,13
2601,42,kinesthetic,Complete course,146,0.48,Moderate,10,16
2602,15,auditory,Master topic,137,0.73,Fast,41,12
2603,55,auditory,Master topic,287,0.55,Fast,17,11
2604,23,kinesthetic,Gain certification,223,0.68,Slow,34,1
2605,58,kinesthetic,Master topic,142,0.93,Slow,3,13
2606,58,kinesthetic,Complete course,239,0.47,Moderate,26,20
2607,47,auditory,Gain certification,179,0.62,Slow,27,4
2608,2,auditory,Gain certification,166,0.95,Moderate,47,19
2609,98,kinesthetic,Gain certification,201,0.97,Fast,21,10
2610,93,visual,Master topic,150,0.79,Fast,49,12
2611,44,visual,Gain certification,44,0.25,Slow,43,3
2612,19,kinesthetic,Master topic,284,0.48,Slow,15,5
2613,83,visual,Master topic,104,0.87,Fast,13,12
2614,5,auditory,Master topic,216,0.88,Slow,10,8
2615,83,auditory,Gain certification,210,0.31,Slow,45,15
2616,49,auditory,Gain certification,208,0.82,Moderate,4,20
2617,70,kinesthetic,Master topic,296,0.55,Slow,33,4
2618,84,visual,Gain certification,144,0.26,Slow,17,14
2619,82,visual,Complete course,175,0.35,Slow,8,19
2620,42,visual,Complete course,113,0.51,Slow,40,12
2621,54,visual,Master topic,142,0.5,Slow,46,7
2622,98,visual,Complete course,161,0.89,Fast,11,8
2623,9,visual,Master topic,54,0.59,Moderate,30,5
2624,73,auditory,Gain certification,142,0.35,Slow,7,18
2625,9,kinesthetic,Gain certification,233,0.57,Fast,47,7
2626,21,kinesthetic,Complete course,143,0.77,Fast,6,10
2627,18,auditory,Complete course,102,0.77,Fast,25,12
2628,60,visual,Gain certification,184,0.46,Fast,2,4
2629,11,kinesthetic,Master topic,68,0.73,Slow,19,15
2630,34,auditory,Gain certification,125,0.87,Moderate,31,13
2631,50,visual,Master topic,51,0.22,Moderate,3,2
2632,87,auditory,Gain certification,282,0.74,Slow,40,11
2633,25,auditory,Complete course,152,0.38,Slow,21,19
2634,96,kinesthetic,Complete course,177,0.26,Slow,26,4
2635,70,auditory,Master topic,52,0.76,Moderate,38,6
2636,33,kinesthetic,Complete course,261,0.5,Slow,46,14
2637,21,visual,Complete course,146,0.96,Fast,15,19
